genotype,dtf,height_cm,plants_m2,number_of_tillers,days_to_harvest,normalized_difference_vegetation_index,fluorescence,protein_pct
Fm345,112.83333333333238,106.66666666666578,17.491817100842432,2.333333333333357,173.98241279309605,0.664999999999992,0.6633333333333296,
Fm346,116.0433215988507,94.17693272048882,2.825150434175751,0.4897538608042239,182.64898525737686,0.5013931340505988,0.4939238354511044,
Fm347,100.99999999999903,102.83333333333246,35.42693229171759,1.000000000000023,154.33333333333252,0.6283333333333253,0.666666666666663,13.287499918331001
Fm349,108.6666666666657,113.83333333333243,25.491817100842432,1.6666666666666898,169.4999999999992,0.6833333333333254,0.6899999999999964,14.546666556127498
Fm351,112.83333333333238,106.49999999999912,39.260265625050934,1.8333333333333564,180.16666666666583,0.5766666666666587,0.641666666666663,16.751666556127496
Fm352,105.29332142179871,106.17693272048882,6.588552598178323,2.163640116010081,161.71707511378236,0.6307607878586308,0.6059510199280667,
Fm354,107.33333333333238,110.33333333333243,32.15848376750909,0.6666666666666888,171.6666666666659,0.6266666666666587,0.6183333333333296,14.454999889460835
Fm355,107.83333333333235,94.16666666666578,32.92693229171759,1.0000000000000229,162.9999999999992,0.6266666666666587,0.6583333333333297,15.350833251664335
Fm356,113.16666666666569,104.16666666666578,35.825150434175754,0.3333333333333551,182.30890216406866,0.5366666666666586,0.5649999999999962,17.2823740918695
Fm358,120.83333333333235,105.49999999999912,76.09233962874276,1.6666666666666894,182.66666666666586,0.5016666666666586,0.4749999999999962,
Fm359,113.66666666666569,108.83333333333245,30.426932291717605,1.1666666666666887,172.16666666666586,0.6199999999999921,0.5849999999999961,18.98987412073967
Fm36,114.99999999999903,111.49999999999912,46.42693229171759,3.8333333333333544,177.6666666666659,0.42666666666665864,0.5033333333333294,
Fm361,103.0833332825692,107.32048647934144,52.82515043417577,1.1405916167895023,154.49999999999918,0.6705044352065994,0.7182111187791224,18.504999918331006
