year,trait,scope,estimable,genotype,blue,standard_error,status
2023,dtf,year,TRUE,Fm398,107.00000000000156,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm400,109.00000000000158,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm401,106.33333333333489,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm402,106.33333333333489,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm403,102.3333333333349,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm404,111.3333333333349,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm405,116.00000000000156,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm406,100.66666666666822,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm407,104.33333333333489,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm409,110.00000000000156,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm41,142.33333333333493,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm410,107.66666666666825,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm411,108.66666666666825,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm412,106.33333333333492,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm413,110.66666666666823,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm414,96.6666666666682,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm415,98.33333333333488,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm416,113.00000000000158,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm417,133.0000000000016,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm418,116.00000000000155,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm419,95.00000000000155,3.0515449535707195,Estimable
2023,dtf,year,TRUE,Fm420,107.66666666666822,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm421,111.00000000000159,3.051544953570719,Estimable
2023,dtf,year,TRUE,Fm428,93.66666666666823,3.051544953570719,Estimable
