genotype,dtf,height_cm,plants_m2,thousand_seed_weight_g,protein_pct,fat_pct,panicle_length_cm,pedicel_length_cm
Fm361,109.66666666666829,134.66666666666114,96.00000000000878,2.7843094225952867,15.782553990681834,3.707129826516018,12.666666666666615,2.499999999999887
Fm362,110.66666666666829,133.9999999999945,76.00000000000881,2.039319895098537,14.620900154113636,3.426161264541894,12.166666666666615,6.333333333333224
Fm363,111.0000000000016,129.3333333333278,44.000000000008804,2.6986507776165864,13.024508158365753,3.5873456927323972,17.499999999999954,5.49999999999989
Fm364,118.66666666666828,113.6666666666611,68.0000000000088,2.5538278606284077,14.197114626566437,3.366191188419696,15.66666666666662,3.4999999999998876
Fm365,106.66666666666828,133.3333333333278,76.00000000000881,2.408278566599053,,3.8117192656188195,14.333333333333284,8.333333333333226
Fm366,102.0000000000016,125.66666666666111,68.00000000000881,1.872087298066969,11.96755282084134,3.3036129924684254,17.666666666666618,5.166666666666554
Fm368,111.00000000000159,137.99999999999443,72.00000000000882,2.9283857789864283,13.436233202616243,3.8217954646077903,11.83333333333328,3.4999999999998868
Fm369,99.00000000000158,112.99999999999442,72.00000000000885,2.3161380814860646,14.646834055582548,3.6118022346565466,14.499999999999954,3.999999999999888
Fm370,114.66666666666825,130.33333333332777,72.00000000000885,2.212402493662941,14.641781806945666,3.318327022667403,13.833333333333284,3.666666666666555
Fm372,111.00000000000159,134.99999999999443,44.000000000008846,2.9408430434321087,,,12.166666666666616,2.499999999999887
Fm375,111.33333333333492,129.9999999999944,52.00000000000884,2.4848445002669415,15.344568570454781,4.5467482173161455,8.499999999999943,5.999999999999891
Fm376,101.3333333333349,132.33333333332777,80.00000000000884,2.365961379771184,16.226140022277697,4.40990886370721,12.666666666666618,3.833333333333221
Fm377,110.33333333333493,138.33333333332774,56.000000000008846,2.465686462603651,14.780982335408392,4.944294447831625,11.999999999999948,3.666666666666555
Fm378,104.00000000000159,145.33333333332774,60.00000000000883,2.283115085899657,,,11.99999999999995,7.833333333333225
Fm379,112.33333333333493,128.3333333333277,68.00000000000884,2.3971235444294363,15.67726103464749,4.011587132747111,8.499999999999943,4.166666666666555
Fm380,107.33333333333493,128.99999999999437,44.00000000000883,2.6950093524078094,14.661535898844265,3.3735511385777723,10.499999999999947,4.499999999999888
Fm381,105.3333333333349,143.33333333332772,60.00000000000882,2.2762907137907136,14.356973330179718,4.058332965742774,10.999999999999948,6.999999999999889
Fm382,106.00000000000158,131.99999999999434,52.00000000000882,2.7250945583071,,,12.99999999999995,4.833333333333221
Fm383,111.33333333333493,144.66666666666103,76.00000000000881,2.803679288688659,16.17431004842109,4.130465847894299,11.833333333333282,3.1666666666665533
Fm384,115.66666666666826,104.66666666666099,60.00000000000882,2.3501088198866564,15.032439867655302,3.8607610769447596,12.333333333333286,2.499999999999887
Fm387,134.66666666666828,121.66666666666099,68.00000000000882,2.0757037403609706,12.837387720743681,,12.999999999999952,1.9999999999998874
Fm388,106.66666666666826,139.3333333333277,56.00000000000882,2.714053562340701,15.426865577697619,4.761392852566668,15.333333333333286,3.4999999999998876
Fm389,113.0000000000016,104.99999999999434,74.00000000000882,2.4872623255923063,14.034364700317246,3.58440410762218,12.499999999999954,1.9999999999998872
Fm390,98.66666666666825,114.66666666666103,48.0000000000088,,,,11.333333333333286,5.49999999999989
Fm391,106.66666666666825,139.99999999999434,48.00000000000878,2.1421538467509125,13.405567804972193,3.9578962178435293,11.833333333333288,8.333333333333224
Fm392,91.00000000000156,115.666666666661,52.00000000000878,1.8473348437759929,15.010161081949736,3.7798534354853044,10.499999999999952,6.666666666666557
Fm394,99.00000000000156,127.33333333332769,80.00000000000877,2.2849924924674045,13.83396148681627,3.9662914929661306,13.166666666666622,6.999999999999891
Fm395,111.66666666666825,130.99999999999434,52.00000000000879,3.0055354693460155,15.271597862243516,3.6422771708684696,14.999999999999956,2.8333333333332202
Fm396,112.00000000000159,125.99999999999434,40.00000000000877,2.399942873148979,17.18562889099108,3.8779011563755432,14.666666666666622,3.166666666666554
Fm398,107.00000000000156,137.33333333332766,44.00000000000875,2.7571315602662887,,4.029489886309231,10.333333333333284,7.833333333333223
Fm400,109.00000000000158,133.33333333332766,76.00000000000874,2.6015140477210204,15.31904983520494,3.819132050595991,16.499999999999957,1.999999999999887
Fm401,106.33333333333489,112.33333333332766,72.00000000000877,2.599519597321271,14.925764401753604,3.705993200806502,14.333333333333288,3.4999999999998876
