genotype,dtf__N40,dtf__N120,height_cm__N40,height_cm__N120,plants_m2__N40,plants_m2__N120,number_of_tillers__N40,number_of_tillers__N120,days_to_harvest__N40,days_to_harvest__N120,normalized_difference_vegetation_index__N40,normalized_difference_vegetation_index__N120,fluorescence__N40,fluorescence__N120,protein_pct__N40,protein_pct__N120
Fm219,72.66666666666482,73.33333333333326,103.99999999999996,109.66666666666501,89.3333333333333,92.00000000000007,4.333333333333335,3.6666666666667256,121.00000000000016,122.28447099480368,0.5933333333333308,0.586666666666653,0.7566666666666458,0.7500000000000133,11.9299997789216,12.4633333333334
Fm221,100.99999999999817,111.33333333333329,100.66666666666661,103.66666666666501,31.333333333333332,27.333333333333535,1.333333333333336,1.3333333333333914,155.00000000000017,152.66666666666504,0.6566666666666642,0.5699999999999864,0.6833333333333124,0.6266666666666804,13.64333333333333,14.010000000000066
Fm225,82.33333333333152,82.33333333333329,102.99999999999996,101.33333333333165,88.66666666666664,88.1871979167685,4.000000000000001,3.3333333333333903,128.00000000000017,130.9999999999984,0.5866666666666642,0.60333333333332,0.6266666666666456,0.623333333333347,13.344999836661938,13.506666666666732
Fm227,107.9999999999982,107.99999999999997,96.66666666666663,99.33333333333164,8.666666666666675,8.000000000000224,3.000000000000002,1.6666666666667236,173.00000000000023,173.99999999999847,0.5299999999999975,0.5266666666666532,0.6233333333333123,0.563333333333347,,19.129748404817406
Fm233,114.33333333333151,116.99999999999999,101.99999999999996,98.99999999999832,32.666666666666664,41.333333333333506,-1.0938020008024311e-16,0.3333333333333888,185.00000000000023,184.99999999999838,0.5566666666666641,0.5899999999999865,0.5066666666666454,0.5666666666666802,16.439999778921592,18.626666666666736
Fm235,124.66666666666482,130.66666666666666,106.99999999999994,100.33333333333165,26.666666666666675,22.187197916768525,1.6666666666666679,1.0000000000000528,182.66666666666686,180.33333333333172,0.5933333333333308,0.5999999999999864,0.463333333333312,0.5066666666666801,,
Fm236,93.66666666666482,96.33333333333329,125.33333333333326,117.66666666666498,57.33333333333333,59.187197916768504,0.666666666666668,0.6666666666667193,144.00000000000023,148.99999999999832,0.613333333333331,0.5833333333333198,0.6833333333333125,0.6633333333333468,16.166666666666664,15.644748404817408
Fm238,120.99999999999815,118.66666666666664,107.33333333333327,114.33333333333164,31.999999999999996,34.983634201684865,3.333333333333335,4.000000000000052,184.43435751957355,184.33333333333167,0.4333333333333308,0.4533333333333197,0.5433333333333122,0.5666666666666802,,15.419748404817406
Fm249,128.99999999999815,137.3333333333333,117.99999999999993,115.9999999999983,49.333333333333336,48.983634201684886,0.3333333333333338,5.272008625015278e-14,186.46482558619397,183.3333333333316,0.6199999999999977,0.6433333333333201,0.6366666666666457,0.6833333333333467,,
Fm250,130.99999999999815,131,127.33333333333323,124.9999999999983,22.666666666666668,,0.33333333333333415,0.33333333333338283,183.33333333333357,186.66666666666492,0.6099999999999978,0.62333333333332,0.6599999999999792,0.6533333333333469,,
Fm3,140.66666666666478,141,111.6666666666666,108.33333333333164,60,63.187197916768476,2.3333333333333353,2.6666666666667163,180.66666666666686,180.99999999999827,0.7033333333333313,0.6599999999999866,0.6966666666666458,0.6633333333333468,,
Fm321,89.66666666666477,91.3333333333333,96.6666666666666,89.99999999999827,29.666666666666675,20.98363420168488,3.3333333333333353,3.6666666666667163,136.33333333333354,140.33333333333155,0.6866666666666643,0.7033333333333199,0.789999999999979,0.7066666666666801,15.109999999999998,16.2533333333334
Fm322,120.66666666666477,129.66666666666666,100.66666666666661,104.9999999999983,21.333333333333336,28.983634201684858,0.3333333333333344,0.33333333333338205,179.66666666666688,183.33333333333158,0.6966666666666642,0.6733333333333199,0.6633333333333121,0.633333333333347,,15.200151708503613
Fm337,101.9999999999981,103.66666666666664,92.33333333333329,95.66666666666495,6.000000000000004,13.333333333333531,1.5757809962001363e-16,0.6666666666667134,161.66666666666686,158.6666666666649,0.5466666666666644,0.6033333333333196,0.5166666666666453,0.6800000000000134,18.12333333333333,16.356666666666737
Fm341,105.33333333333144,108.66666666666664,106.33333333333326,97.99999999999828,62,62.187197916768476,1.6666666666666679,4.33333333333338,160.3333333333335,161.6666666666649,0.673333333333331,0.6999999999999864,0.6299999999999788,0.6833333333333469,13.979999836661937,14.2133333333334
Fm343,120.33333333333142,123,123.9999999999999,130.66666666666495,58,54.98363420168488,1.0000000000000022,1.666666666666714,184.0000000000002,184.99999999999827,0.6366666666666645,0.6399999999999864,0.5999999999999789,0.7033333333333469,,
Fm344,121.33333333333144,119.33333333333331,88.99999999999996,87.3333333333316,15.333333333333327,10.000000000000203,1.000000000000002,1.0000000000000457,182.33333333333357,183.33333333333155,0.45666666666666456,0.4399999999999861,0.3299999999999782,0.3666666666666804,,
Fm345,112.9999999999981,112.66666666666666,106.6666666666666,106.66666666666495,11.999999999999996,22.983634201684865,2.333333333333335,2.3333333333333797,176.96482558619385,170.9999999999982,0.6399999999999978,0.6899999999999863,0.5833333333333124,0.7433333333333467,,15.369748404817408
Fm346,116.08664284359745,116.00000035410396,91.020532107646,97.33333333333162,2.6666666666666545,2.9836342016848483,-0.006053101313217513,0.9855608229216652,180.07034882761286,185.22762168714084,0.5015215757172753,0.5012646923839225,0.46856870652278654,0.5192789643794223,,16.820151708503616
Fm347,100.99999999999808,100.99999999999997,102.33333333333327,103.33333333333164,36.66666666666667,34.187197916768504,1.000000000000002,1.0000000000000444,155.66666666666686,152.9999999999982,0.6233333333333311,0.6333333333333195,0.64999999999997915,0.6833333333333469,13.074999836661938,13.500000000000066
Fm349,107.99999999999808,109.33333333333333,115.33333333333324,112.33333333333161,26.00000000000001,24.983634201684858,1.6666666666666676,1.666666666666712,162.3333333333335,176.6666666666649,0.6866666666666644,0.6799999999999863,0.6733333333333125,0.7066666666666802,14.269999778921598,14.8233333333334
Fm351,110.33333333333142,115.33333333333333,104.6666666666666,108.33333333333162,37.33333333333334,41.18719791676852,1.6666666666666679,2.000000000000045,172.0000000000002,188.3333333333315,0.6533333333333311,0.4999999999999861,0.7066666666666458,0.5766666666666803,15.299999778921599,18.203333333333397
Fm352,106.58664284359745,103.99999999999997,105.020532107646,107.33333333333162,7.989907279588141,5.187197916768504,0.9939468986867843,3.333333333333378,164.1008168942332,159.3333333333315,0.6015215757172753,0.6599999999999863,0.6285687065227863,0.5833333333333469,,16.820000000000064
Fm354,106.66666666666475,107.99999999999999,112.33333333333326,108.33333333333162,27.333333333333343,36.983634201684836,0.33333333333333415,1.0000000000000435,176.33333333333357,166.99999999999818,0.5933333333333312,0.6599999999999863,0.609999999999979,0.6266666666666801,13.459999778921603,15.450000000000067
Fm355,105.3333333333314,110.3333333333333,92.99999999999996,95.33333333333161,32.66666666666667,33.18719791676851,0.6666666666666684,1.3333333333333774,159.0000000000002,166.99999999999818,0.6666666666666644,0.5866666666666529,0.639999999999979,0.6766666666666802,14.33499983666194,16.36666666666673
Fm356,110.99999999999808,115.3333333333333,106.66666666666659,101.66666666666497,34.66666666666667,36.98363420168484,0.3333333333333341,0.33333333333337606,179.33333333333354,185.28447099480377,0.5699999999999977,0.5033333333333194,0.6399999999999789,0.49000000000001354,15.889999778921599,18.674748404817397
Fm358,121.99999999999807,119.66666666666664,103.99999999999993,106.99999999999831,65.997481340717,86.18719791676851,1.3333333333333357,2.000000000000043,182.33333333333354,182.99999999999818,0.49666666666666454,0.5066666666666527,0.6099999999999789,0.34000000000001346,,21.010151708503617
Fm359,115.3333333333314,112,106.99999999999993,110.66666666666497,30.66666666666668,30.18719791676853,0.6666666666666685,1.6666666666667092,177.00000000000023,167.3333333333315,0.5933333333333312,0.646666666666653,0.5133333333333121,0.65666666666668,18.73999983666194,19.239748404817405
Fm36,114.99999999999805,115,105.99999999999994,116.9999999999983,48.666666666666686,44.187197916768504,3.6666666666666674,4.000000000000042,178.33333333333354,176.9999999999982,0.3999999999999978,0.45333333333331943,0.46999999999997877,0.5366666666666802,,26.3547484048174
Fm361,103.66666666666472,102.49999989847367,104.33333333333326,110.30763962534962,48.666666666666686,56.98363420168485,0.33333333333333404,1.9478499002456706,155.66666666666686,153.3333333333315,0.6399999999999978,0.7010088704132009,0.6899999999999791,0.7464222375582656,19.70999983666194,17.30000000000007
Fm363,107.66666666666471,116.66666666666664,110.33333333333326,113.99999999999828,30.66666666666668,27.18719791676852,1.0000000000000018,1.3333333333333757,166.33333333333354,163.99999999999815,0.6066666666666645,0.656666666666653,0.6666666666666458,0.6733333333333466,13.329999778921378,15.310000000000073
Fm364,119.99999999999805,118.99999999999997,93.99999999999996,94.66666666666497,6.6666666666666865,12.66666666666684,2.6296607051726983e-16,1.0000000000000402,183.96482558619385,173.33333333333152,0.5233333333333313,0.6299999999999862,0.5033333333333121,0.6466666666666802,18.529999778921376,
Fm365,101.3333333333314,104.99999999999999,101.66666666666661,108.33333333333165,59.333333333333336,,1.000000000000002,0.6666666666667077,162.66666666666688,164.99999999999818,0.5666666666666644,0.5833333333333196,0.719999999999979,0.60666666666668,14.949999836661945,16.053333333333402
Fm366,100.66666666666474,102.66666666666666,95.99999999999996,92.99999999999831,36.66666666666668,45.687197916768504,-1.285787207222665e-16,0.6666666666667075,156.0000000000002,161.99999999999815,0.6666666666666644,0.6933333333333196,0.6633333333333123,0.72666666666668,13.663333333333334,15.600000000000069
Fm368,99.33333333333138,103.33333333333331,106.33333333333326,105.33333333333164,7.333333333333338,12.666666666666835,1.3333333333333348,1.6666666666667078,165.93435751957372,178.99999999999818,0.6166666666666645,0.526666666666653,0.5799999999999789,0.6100000000000134,15.794999836661946,17.2747484048174
Fm369,111.66666666666474,103.66666666666666,74.66666666666664,83.33333333333162,3.9999999999999982,2.1871979167685067,1.3333333333333346,1.0000000000000393,169.00000000000023,170.99999999999812,0.573333333333331,0.6599999999999864,0.719999999999979,0.5600000000000136,13.879999778921379,17.90666666666674
Fm370,112.99999999999805,116.33333333333331,110.66666666666659,106.33333333333164,36.000000000000014,39.1871979167685,2.333333333333334,2.000000000000041,178.33333333333357,176.99999999999818,0.4766666666666646,0.496666666666653,0.4666666666666453,0.5100000000000136,,21.650000000000077
Fm372,111.33333333333138,108.33333333333333,89.99999999999994,99.99999999999831,24.66666666666669,32.50818289915761,3.666666666666668,4.666666666666707,167.33333333333357,160.99999999999818,0.6433333333333311,0.6699999999999865,0.6433333333333124,0.7166666666666799,16.629999836661938,15.223333333333406
Fm375,105.99999999999804,107.99999999999999,113.33333333333326,108.33333333333165,85.33333333333333,76.00000000000013,3.3333333333333344,2.3333333333333743,156.00000000000023,164.66666666666484,0.6366666666666645,0.6066666666666529,0.619999999999979,0.6066666666666801,15.924999836661945,16.50666666666674
Fm376,103.66666666666472,103.33333333333331,106.6666666666666,108.33333333333167,37.33333333333335,44.1871979167685,1.3333333333333348,2.3333333333333743,159.33333333333357,156.3333333333315,0.6066666666666644,0.6266666666666529,0.5299999999999788,0.5466666666666803,15.609999836661945,16.73666666666674
Fm377,106.99999999999804,110.33333333333331,100.66666666666661,105.33333333333165,77.33333333333333,102.98363420168486,1.333333333333335,2.0000000000000404,165.3333333333336,164.99999999999818,0.6766666666666644,0.6833333333333196,0.719999999999979,0.65666666666668,16.909999778921375,16.5547484048174
Fm378,97.66666666666472,102.33333333333331,111.99999999999993,109.33333333333165,21.333333333333353,,2.000000000000001,3.333333333333374,154.6666666666669,171.66666666666484,0.6366666666666644,0.5433333333333196,0.6166666666666456,0.4966666666666801,19.529999778921376,21.190000000000072
Fm379,103.99999999999804,104.66666666666664,98.3333333333333,104.99999999999834,29.989907279588138,28.18719791676853,4.666666666666668,3.666666666666708,157.43435751957367,158.3333333333315,0.709999999999998,0.6833333333333196,0.6366666666666456,0.7033333333333465,15.664999836661943,17.053333333333406
Fm380,106.66666666666472,113.33333333333331,100.33333333333329,109.99999999999832,30.00000000000002,38.00000000000014,1.3333333333333355,2.3333333333333743,169.33333333333357,164.99999999999815,0.5899999999999977,0.5999999999999862,0.589999999999979,0.64666666666668,15.574999836661947,17.840000000000067
Fm381,103.66666666666472,99.66666666666666,108.99999999999993,114.666666666665,55.33333333333336,,1.000000000000002,1.6666666666667085,161.66666666666688,154.99999999999815,0.6533333333333311,0.6399999999999864,0.559999999999979,0.6600000000000132,14.65999977892138,14.613333333333404
Fm382,102.3333333333314,105.99999999999999,88.3333333333333,91.99999999999834,11.333333333333352,18.187197916768522,6.666666666666666,6.0000000000000435,154.33333333333354,161.66666666666484,0.6566666666666643,0.6933333333333196,0.6599999999999792,0.7133333333333466,13.514999836661948,15.420000000000071
Fm384,118.33333333333138,117.33333333333333,82.66666666666663,87.33333333333167,22.666666666666682,30.187197916768525,1.0000000000000018,2.3333333333333752,185.33333333333357,184.6666666666648,0.5399999999999975,0.5033333333333194,0.48333333333331213,0.4433333333333468,18.849999778921376,16.36000000000007
Fm387,122.99999999999802,125.99999999999997,103.33333333333326,96.99999999999835,48.666666666666686,34.983634201684865,1.333333333333335,1.6666666666667092,183.33333333333354,189.72762168714084,0.603333333333331,0.5633333333333196,0.6699999999999793,0.6733333333333466,,
Fm388,106.66666666666471,107.33333333333331,104.33333333333327,97.99999999999834,10.666666666666679,7.1871979167685005,3.6666666666666674,5.6666666666667105,170.6666666666669,163.33333333333144,0.5599999999999975,0.656666666666653,0.5499999999999791,0.6000000000000133,15.354999836661946,16.923333333333407
Fm389,119.6666666666647,119.99999999999997,79.99999999999997,82.99999999999834,26.000000000000018,42.18719791676852,0.666666666666668,2.000000000000042,181.33333333333357,183.66666666666478,0.5033333333333311,0.5133333333333195,0.4966666666666456,0.5066666666666799,15.56999977892138,18.5433333333334
Fm391,102.6666666666647,101.33333333333331,97.99999999999996,104.66666666666502,8.000000000000009,6.187197916768508,1.6666666666666672,2.6666666666667087,158.66666666666688,165.33333333333147,0.6299999999999977,0.6633333333333196,0.6433333333333126,0.6966666666666798,17.139999999999997,16.940000000000072
Fm392,92.33333333333135,93.3333333333333,98.6666666666666,98.33333333333168,29.33333333333335,36.666666666666806,3.666666666666667,5.000000000000042,138.6666666666669,142.66666666666478,0.6866666666666642,0.586666666666653,0.776666666666646,0.7333333333333465,13.023333333333332,14.010000000000066
Fm394,100.33333333333137,101.33333333333331,90.99999999999996,94.66666666666504,11.333333333333343,16.98363420168486,4.333333333333334,4.000000000000043,166.46482558619377,153.78447099480374,0.5633333333333309,0.6233333333333196,0.6785687065227866,0.59666666666668,17.909999836661942,15.180000000000069
Fm395,109.99999999999804,109.99999999999999,110.33333333333326,113.666666666665,16.000000000000014,,2.0000000000000004,2.333333333333376,167.00000000000026,163.99999999999812,0.6733333333333309,0.6699999999999863,0.6399999999999791,0.70266666666668,15.329999778921378,16.653333333333403
Fm396,112.99999999999804,111.33333333333331,90.99999999999996,89.99999999999834,6.666666666666692,13.187197916768499,4.333333333333334,6.000000000000045,173.00000000000023,162.6666666666648,0.5899999999999977,0.6933333333333196,0.6533333333333124,0.6900000000000133,,19.593333333333405
Fm398,104.58664284359736,107.49999989847366,92.52053210764605,95.30763962534971,6.000000000000008,0.9836342016848411,2.0000000000000004,2.9478499002456755,157.1008168942331,163.28447099480377,0.6065215757172748,0.571008870413201,0.5985687065227867,0.6164222375582658,15.354999836661948,17.584748404817397
Fm400,107.33333333333138,107.33333333333331,98.66666666666663,103.33333333333168,22.00000000000002,25.187197916768522,2.0000000000000004,1.66666666666671,165.0000000000002,168.6666666666648,0.7066666666666647,0.6266666666666528,0.7433333333333123,0.7233333333333465,14.389999836661946,15.746666666666734
Fm401,99.66666666666471,99.99999999999997,89.66666666666663,99.66666666666501,50.98990727958812,53.187197916768504,1.000000000000001,0.6666666666667084,155.66666666666686,158.99999999999815,0.6299999999999978,0.5733333333333195,0.7133333333333123,0.62666666666668,16.60333333333333,17.4033333333334
Fm402,98.33333333333137,100.33333333333329,102.3333333333333,108.99999999999835,58.66666666666667,72.98363420168485,2.333333333333334,2.3333333333333766,149.66666666666688,150.99999999999812,0.6799999999999977,0.6899999999999862,0.759999999999979,0.6633333333333465,14.169999836661946,14.300000000000066
Fm404,106.99999999999804,108.49999974742231,103.66666666666663,108.25518313483445,88.00000000000001,,1.3333333333333348,1.5665892768330347,166.66666666666686,158.98790731805053,0.633333333333331,0.6877264372028339,0.6499999999999789,0.7092987980623497,14.669999778921378,15.689924145748288
Fm405,107.99999999999804,108.66666666666664,113.6666666666666,114.99999999999834,72.66666666666669,52.98363420168487,2.6666666666666674,2.000000000000043,165.00000000000017,173.3333333333315,0.643333333333331,0.5599999999999863,0.6399999999999789,0.6600000000000131,17.324999836661945,16.039748404817395
Fm406,102.66666666666471,100.99999999999999,93.66666666666664,102.66666666666501,27.33333333333336,12.983634201684858,1.0000000000000018,0.3333333333333754,156.33333333333354,158.3333333333315,0.5999999999999979,0.6166666666666529,0.6333333333333122,0.6966666666666798,14.989999836661946,15.750000000000068
Fm407,100.66666666666472,97.99999999999999,100.33333333333329,103.99999999999832,25.333333333333357,26.000000000000142,0.6666666666666683,0.33333333333337495,160.3333333333335,151.99999999999815,0.6333333333333311,0.7266666666666529,0.6866666666666456,0.6833333333333466,15.934999836661945,14.943333333333397
Fm41,121.99999999999805,126.66666666666664,99.33333333333327,97.666666666665,66.00000000000001,58.98363420168485,5.000000000000002,4.66666666666671,186.0000000000002,181.66666666666487,0.693333333333331,0.6799999999999862,0.6499999999999789,0.730000000000013,13.019999778921381,17.859748404817395
Fm410,109.99999999999805,109.3333333333333,105.66666666666661,105.3333333333317,34.000000000000014,40.187197916768476,1.333333333333335,1.333333333333376,168.66666666666683,173.28447099480377,0.6733333333333311,0.6433333333333195,0.6266666666666455,0.6033333333333466,16.089999836661946,16.9533333333334
Fm411,104.66666666666471,98.3333333333333,93.3333333333333,101.33333333333167,40.66666666666668,31.187197916768522,1.0000000000000013,2.333333333333376,162.66666666666683,152.99999999999818,0.6699999999999977,0.7066666666666529,0.5799999999999789,0.6800000000000131,16.414999836661945,14.890000000000063
Fm412,100.3333333333314,99.66666666666664,82.66666666666664,86.666666666665,28.666666666666693,31.333333333333467,5.333333333333336,4.0000000000000435,151.33333333333354,152.99999999999818,0.6433333333333311,0.6266666666666529,0.6833333333333121,0.6233333333333465,13.509999836661944,15.000000000000066
Fm413,108.3333333333314,108.99999999999997,98.99999999999996,91.99999999999832,38.666666666666686,34.187197916768476,3.666666666666667,5.333333333333377,161.66666666666683,165.99999999999818,0.6766666666666644,0.6299999999999863,0.7066666666666455,0.6233333333333466,16.094999836661945,18.43666666666673
Fm414,98.66666666666474,99.99999999999997,101.3333333333333,93.66666666666501,26.000000000000018,30.000000000000135,0.6666666666666673,0.3333333333333754,151.33333333333354,149.66666666666484,0.5433333333333311,0.5699999999999863,0.6399999999999787,0.6333333333333466,16.159999836661946,17.350000000000062
Fm415,97.33333333333141,98.99999999999997,99.66666666666663,93.33333333333168,21.33333333333335,22.98363420168485,3.3333333333333344,5.3333333333333774,148.00000000000017,149.99999999999818,0.5966666666666645,0.626666666666653,0.7133333333333121,0.5933333333333466,16.259999836661947,14.303333333333397
Fm416,110.99999999999807,112.99999999999996,101.33333333333331,113.99999999999832,24.666666666666693,33.18719791676848,2.0000000000000004,1.3333333333333761,170.66666666666686,176.9999999999982,0.6599999999999978,0.536666666666653,0.5299999999999786,0.5300000000000132,,18.566666666666734
Fm417,122.3333333333314,119.99999999999996,104.66666666666663,106.99999999999834,44.000000000000014,48.00000000000012,3.0000000000000013,3.000000000000044,185.3333333333335,181.9999999999982,0.5699999999999977,0.5966666666666531,0.40999999999997844,0.5300000000000132,,21.859748404817395
Fm418,120.66666666666471,119.33333333333331,94.33333333333333,89.66666666666501,52.666666666666686,49.33333333333345,0.6666666666666677,1.0000000000000415,181.3333333333335,181.33333333333155,0.6433333333333311,0.6199999999999863,0.6399999999999788,0.6633333333333463,22.56999983666194,23.560151708503618
Fm419,92.33333333333138,94.99999999999997,99.66666666666666,94.33333333333167,42.66666666666668,42.98363420168486,2.3333333333333344,2.66666666666671,141.0000000000002,146.99999999999818,0.6433333333333311,0.6499999999999864,0.7133333333333122,0.7166666666666796,12.983333333333333,15.090000000000062
Fm420,105.33333333333138,102.66666666666664,95.33333333333333,97.66666666666501,18.666666666666682,14.98363420168486,-7.437019888655865e-17,0.33333333333337556,160.43435751957364,153.66666666666487,0.6533333333333311,0.6199999999999863,0.7099999999999788,0.6933333333333463,16.399999778921366,15.916666666666728
Fm421,113.99999999999804,112.33333333333331,114.66666666666663,106.33333333333167,26.666666666666682,,1.6666666666666676,2.000000000000043,180.0000000000002,173.99999999999824,0.49666666666666454,0.536666666666653,0.5233333333333119,0.5466666666666801,14.71999977892138,16.829748404817398
Fm428,89.66666666666471,98.99999999999999,87,88.33333333333167,19.333333333333346,16.983634201684865,5.000000000000002,6.000000000000046,142.93435751957367,151.66666666666487,0.7233333333333313,0.6099999999999862,0.7699999999999788,0.6500000000000131,13.909999836661944,14.226666666666729
Fm429,94.99999999999805,96.66666666666666,131.6666666666666,130.33333333333167,26.00000000000002,18.98363420168486,0.3333333333333336,0.3333333333333756,147.0000000000002,145.9999999999982,0.6699999999999977,0.6699999999999863,0.6866666666666454,0.6700000000000131,16.806666666666665,15.430000000000064
Fm43,123.3333333333314,128.99999999999997,94.66666666666666,90.66666666666501,54.000000000000014,56.18719791676848,3.666666666666668,4.3333333333333774,179.3333333333335,185.33333333333155,0.7066666666666644,0.666666666666653,0.633333333333312,0.5833333333333467,,
Fm44,111.3333333333314,112.33333333333331,96.33333333333331,100.99999999999835,75.33333333333336,84.98363420168488,4.000000000000002,3.6666666666667114,171.66666666666686,178.33333333333155,0.6566666666666644,0.6466666666666528,0.6033333333333118,0.6333333333333466,19.869999778921375,18.05666666666673
Fm442,115.99999999999807,106.33333333333331,88.66666666666666,86.99999999999834,32.00000000000001,26.18719791676851,1.6666666666666683,0.6666666666667086,169.66666666666683,166.66666666666487,0.6066666666666644,0.646666666666653,0.523333333333312,0.5566666666666801,16.53499983666194,16.48333333333339
Fm443,106.08664284359739,102.66666666666666,97.02053210764608,96.33333333333167,19.333333333333343,,2.9939468986867888,4.000000000000044,168.10081689423308,159.99999999999824,0.4715215757172754,0.636666666666653,0.6635687065227864,0.5666666666666801,,14.756666666666732
Fm444,113.3333333333314,113.66666666666663,101.33333333333331,95.66666666666501,50.666666666666686,55.18719791676847,0.6666666666666685,4.216854485276058e-14,166.66666666666683,177.33333333333158,0.6399999999999978,0.6033333333333195,0.6666666666666454,0.50666666666668,18.259999778921372,20.860000000000067
Fm446,104.33333333333138,109.66666666666664,112.3333333333333,111.99999999999835,29.333333333333353,36.187197916768476,1.3333333333333355,1.0000000000000413,160.6666666666668,168.99999999999824,0.6799999999999977,0.6699999999999863,0.6899999999999787,0.7200000000000132,12.63999977892138,15.943333333333399
Fm458,150.99999999999804,141.66666666666663,108.66666666666664,125.66666666666502,58.66666666666667,57.18719791676846,5.2321439558117875e-16,0.6666666666667082,183.33333333333348,177.99999999999827,0.683333333333331,0.6866666666666529,0.6599999999999788,0.7466666666666798,,
Fm464,103.99999999999802,116.99999999999999,99.99999999999999,102.66666666666504,38.666666666666686,66.18719791676851,4.000000000000002,5.0000000000000435,177.00000000000017,185.99999999999824,0.6366666666666644,0.5766666666666529,0.6633333333333121,0.3700000000000135,20.019999778921367,20.120151708503613
