genotype,deltaN__dtf,deltaN__height_cm,deltaN__plants_m2,deltaN__number_of_tillers,deltaN__days_to_harvest,deltaN__normalized_difference_vegetation_index,deltaN__fluorescence,deltaN__protein_pct
Fm492,-4.3333333333313675,2.8076396253498075,18.853864583435126,3.952393967665557e-14,-10.000000000001961,0.006666666666655163,0.013333333333367392,0.19474862589602182
Fm496,-0.3333333333313959,-11.00000000000162,2.98363420168484,0.6666666666667057,-1.333333333335304,0.059999999999988396,0.09000000000003416,1.2600001633381304
Fm505,4.66666666666859,-1.6666666666682914,2.8538645834351257,-0.33333333333329573,4.666666666664696,-0.006666666666678367,-0.03666666666663254,-1.5148481281583326
Fm507,1.6666666666685899,-1.6666666666683199,8.853864583435175,-3.66666666666662,-3.939044979525903,0.07666666666665478,0.11000000000003463,
Fm510,6.3333333333352755,3.6666666666650514,-2.3496991316484923,4.0400684576185905e-14,5.333333333331382,0.02666666666665496,0.10000000000003417,
Fm518,0.3333333333352613,3.6666666666650087,3.3333333333334494,0.6666666666667087,0.9999999999980389,0.046666666666654755,0.03333333333336741,-3.3133333333332615
Fm519,-0.6666666666647245,4.99999999999838,17.650300868351522,2.333333333333375,-7.333333333335304,0.07999999999998819,0.12666666666670068,0.22000022107870976
Fm522,-8.999999999998053,0.6666666666650372,6.983634201684847,-0.9999999999999591,-3.666666666668675,0.07999999999998814,0.16666666666670094,
Fm523,1.6666666666686183,-1.6200374375330284e-12,17.650300868351525,0.3333333333333732,1.6666666666646393,-0.013333333333345077,-0.03999999999996595,-0.0899999999999288
Fm524,-0.9999999999980389,-3.6666666666682914,9.52053125010184,0.6666666666667096,0.6666666666646393,0.03333333333332156,-0.03666666666663276,-0.05333333333326529
Fm537,2.0000000000019327,5.99999999999838,-12.146135416564803,1.3333333333333748,16.61780432813694,-1.1879386363489175e-14,-0.14666666666663253,1.576666666666739
Fm552,1.6666666666686183,6.333333333331694,-1.146135416564828,3.3333333333333766,10.66666666666464,0.029999999999988036,0.05333333333336743,0.41333355441202
Fm56,-0.33333333333141013,4.333333333331709,23.65030086835155,1.3333333333333774,-0.3333333333353323,0.049999999999988054,-0.026666666666632755,
Fm560,-1.3333333333313817,-3.000000000001677,-6.146135416564835,-0.9999999999999503,-0.6666666666687604,-0.010000000000011888,-0.0033333333332995485,1.880000163338126
Fm566,-1.3333333333313817,3.3333333333316943,6.000000000000142,-2.3333333333332824,-2.3333333333353323,0.039999999999988045,0.026666666666700478,0.5683334966714657
Fm569,-0.6666666666646961,-5.333333333334963,-11.016365798315107,12.00000000000006,-1.2674835609015531,0.039999999999988045,0.010000000000033982,1.806666887745351
Fm585,2.9046208360641828,4.4192151351028315,10.000000000000135,0.09967331101040244,-5.235608656279112,-0.069580921616674285,-0.04953245374071358,1.6701518718416786
Fm589,0.3333333333352755,0.6666666666650514,-3.8128020832314746,0.6666666666667149,-0.4343575195753431,0.01333333333332154,-0.006666666666632626,7.250000163338128
Fm590,1.0000000000019469,-5.333333333334963,44.31696753501819,3.0000000000000604,-3.048862338529659,0.043333333333321344,-0.07999999999996588,1.4600002210786869
Fm592,-0.9999999999980815,-2.0000000000016485,2.3169675350181933,9.00000000000006,-11.33333333333536,0.05333333333332135,0.020000000000034213,0.5033334966714627
Fm600,1.9042545318370685e-12,1.9999999999983942,1.650300868351529,2.000000000000052,1.3333333333313817,0.029999999999987814,-0.009999999999965814,
Fm601,2.333333333335247,-11.000000000001606,10.000000000000135,7.000000000000056,-1.6666666666686467,0.003333333333321309,-0.023333333333299122,
Fm610,2.0000000000019327,2.333333333331737,-23.016365798315107,-1.6666666666666092,3.9999999999979536,0.009999999999987907,-0.006666666666632404,1.8833334966714688
Fm611,1.9042545318370685e-12,1.3333333333317512,26.316967535018208,0.6666666666667229,3.3333333333312964,-1.1934897514720433e-14,-0.04999999999996596,1.0400001633381297
Fm612,-0.6666666666647387,4.66666666666508,50.18719791676847,17.000000000000064,-0.666666666668732,-0.020000000000011897,0.003333333333367383,0.6300002210786815
Fm614,0.6666666666686183,0.3333333333317654,-8.349699131648471,0.33333333333338644,-12.000000000002046,0.12333333333332142,0.18333333333336743,
Fm615,1.666666666668604,0.9999999999984084,,5.2735593669694936e-14,1.333333333331268,0.029999999999988147,0.053333333333367317,1.1100002210787103
Fm616,-0.9999999999980673,-7.666666666668277,5.853864583435147,-0.6666666666666075,1.284470994803371,-0.023333333333345307,-0.0033333333332993265,0.7933334966714547
Fm620,-0.6666666666647103,4.333333333331723,-21.333333333333194,1.6666666666667238,-0.333333333335446,-0.013333333333345299,-0.019999999999966045,0.44666666666673294
Fm621,6.66666666666859,5.999999999998366,,5.5067062021407764e-14,5.666666666664611,-0.013333333333345188,-0.17666666666663255,1.6666666666667282
Fm65,-1.9999999999980815,0.9999999999984084,-13.812802083231517,5.5067062021407764e-14,-11.000000000002103,0.12999999999998813,0.18333333333336754,
Fm78,-6.15131112274166,27.15270438850534,-3.4794687498981878,0.4985737871854292,-0.43435751957557045,-0.04758191015916996,0.04859001848041422,
Fm79,0.6666666666685614,4.999999999998394,-5.812802083231489,3.666666666666723,-1.2155290051964869,0.003333333333321642,0.0066666666667007934,
