dataset,trait,model,n,status,started,updated,detail
2024_N40,days_to_harvest,BLINK,80,started,2026-09-08 19:42:06.08811,2026-09-08 19:42:06.088385,""
2024_N40,days_to_harvest,BLINK,80,completed,2026-09-08 19:42:06.08811,2026-09-08 19:44:42.088981,""
2024_N40,normalized_difference_vegetation_index,MLM,81,started,2026-09-08 19:44:43.450888,2026-09-08 19:44:43.451139,""
2024_N40,normalized_difference_vegetation_index,MLM,81,completed,2026-09-08 19:44:43.450888,2026-09-08 19:47:21.423941,""
2024_N40,normalized_difference_vegetation_index,FarmCPU,81,started,2026-09-08 19:47:22.417494,2026-09-08 19:47:22.417773,""
2024_N40,normalized_difference_vegetation_index,FarmCPU,81,completed,2026-09-08 19:47:22.417494,2026-09-08 19:49:00.273832,""
2024_N40,normalized_difference_vegetation_index,BLINK,81,started,2026-09-08 19:49:01.0845,2026-09-08 19:49:01.084759,""
2024_N40,normalized_difference_vegetation_index,BLINK,81,completed,2026-09-08 19:49:01.0845,2026-09-08 19:50:40.187636,""
2024_N40,fluorescence,MLM,81,started,2026-09-08 19:50:41.615113,2026-09-08 19:50:41.615704,""
2024_N40,fluorescence,MLM,81,completed,2026-09-08 19:50:41.615113,2026-09-08 19:53:22.041868,""
2024_N40,fluorescence,FarmCPU,81,started,2026-09-08 19:53:23.234345,2026-09-08 19:53:23.234688,""
2024_N40,fluorescence,FarmCPU,81,completed,2026-09-08 19:53:23.234345,2026-09-08 19:55:01.030295,""
2024_N40,fluorescence,BLINK,81,started,2026-09-08 19:55:01.482377,2026-09-08 19:55:01.48261,""
2024_N40,fluorescence,BLINK,81,completed,2026-09-08 19:55:01.482377,2026-09-08 19:56:38.334441,""
2024_N40,protein_pct,MLM,57,started,2026-09-08 19:56:39.709786,2026-09-08 19:56:39.710217,""
2024_N40,protein_pct,MLM,57,completed,2026-09-08 19:56:39.709786,2026-09-08 19:58:52.749119,""
2024_N40,protein_pct,FarmCPU,57,started,2026-09-08 19:58:53.528747,2026-09-08 19:58:53.528991,""
2024_N40,protein_pct,FarmCPU,57,completed,2026-09-08 19:58:53.528747,2026-09-08 20:02:49.774328,""
2024_N40,protein_pct,BLINK,57,started,2026-09-08 20:02:50.639998,2026-09-08 20:02:50.640248,""
2024_N40,protein_pct,BLINK,57,completed,2026-09-08 20:02:50.639998,2026-09-08 20:05:09.93049,""
2024_N120,dtf,MLM,80,started,2026-09-08 20:05:11.432301,2026-09-08 20:05:11.432746,""
2024_N120,dtf,MLM,80,completed,2026-09-08 20:05:11.432301,2026-09-08 20:07:55.295334,""
2024_N120,dtf,FarmCPU,80,started,2026-09-08 20:07:56.100959,2026-09-08 20:07:56.101392,""
2024_N120,dtf,FarmCPU,80,failed,2026-09-08 20:07:56.100959,2026-09-08 20:14:17.818714,need finite 'ylim' values
2024_N120,dtf,BLINK,80,started,2026-09-08 20:14:18.539913,2026-09-08 20:14:18.540168,""
2024_N120,dtf,BLINK,80,completed,2026-09-08 20:14:18.539913,2026-09-08 20:17:40.959032,""
2024_N120,height_cm,MLM,81,started,2026-09-08 20:17:42.423112,2026-09-08 20:17:42.423483,""
2024_N120,height_cm,MLM,81,completed,2026-09-08 20:17:42.423112,2026-09-08 20:20:22.003002,""
2024_N120,height_cm,FarmCPU,81,started,2026-09-08 20:20:23.141351,2026-09-08 20:20:23.141637,""
2024_N120,height_cm,FarmCPU,81,completed,2026-09-08 20:20:23.141351,2026-09-08 20:25:58.074279,""
2024_N120,height_cm,BLINK,81,started,2026-09-08 20:25:59.124357,2026-09-08 20:25:59.124612,""
2024_N120,height_cm,BLINK,81,completed,2026-09-08 20:25:59.124357,2026-09-08 20:29:23.592578,""
