sample	called	missing	missing_rate	status
Fm611	776438	131448	0.144785	removed
Fm612	824160	83726	0.0922208	kept
Fm614	851324	56562	0.0623008	kept
Fm615	835394	72492	0.079847	kept
Fm616	795977	111909	0.123263	removed
Fm617	861794	46092	0.0507685	kept
Fm618	806485	101401	0.111689	removed
Fm619	786040	121846	0.134208	removed
Fm620	884744	23142	0.02549	kept
Fm621	898839	9047	0.00996491	kept
Fm681	867151	40735	0.044868	kept
