# CMD line shows the command line used to generate this output
# DEF lines define expressions for all tested thresholds
# FLT* lines report numbers for every threshold and every sample:
#   1) filter id
#   2) sample
#   3) number of genotypes which pass the filter
#   4) number of non-reference genotypes
#   5) number of homozygous ref genotypes (0/0 or 0)
#   6) number of homozygous alt genotypes (1/1, 2/2, etc)
#   7) number of heterozygous genotypes (0/1, 1/2, etc)
#   8) number of hemizygous genotypes (0, 1, etc)
#   9) number of SNVs
#   10) number of indels
#   11) number of singletons
#   12) number of missing genotypes (./., ., ./0, etc)
#   13) number of transitions (alt het genotypes such as "1/2" are counted twice)
#   14) number of transversions (alt het genotypes such as "1/2" are counted twice)
#   15) overall ts/tv
# SITE* lines report numbers for every threshold:
#   1) filter id
#   2) number of sites which pass the filter
#   3) number of SNVs
#   4) number of indels
#   5) number of singletons
#   6) number of transitions (counted at most once at multiallelic sites)
#   7) number of transversions (counted at most once at multiallelic sites)
#   8) overall ts/tv
CMD	smpl-stats -o data/processed/genotypes/sample_stats_before_qc.tsv data/processed/genotypes/Fox_geno.corrected.vcf.gz
DEF	FLT0	all
FLT0	Fm138	905361	272331	633030	70029	202302	0	272331	0	0	2525	216661	55670	3.89
FLT0	Fm139	847223	247055	600168	59107	187948	0	247055	0	0	60663	196992	50063	3.93
FLT0	Fm140	892527	254225	638302	63904	190321	0	254225	0	0	15359	202296	51929	3.90
FLT0	Fm141	876863	239774	637089	69884	169890	0	239774	0	0	31023	190589	49185	3.87
FLT0	Fm142	854002	224227	629775	64349	159878	0	224227	0	0	53884	177941	46286	3.84
FLT0	Fm144	735375	200187	535188	51989	148198	0	200187	0	0	172511	159256	40931	3.89
FLT0	Fm153	895427	242714	652713	63617	179097	0	242714	0	0	12459	192864	49850	3.87
FLT0	Fm161	896188	246679	649509	75551	171128	0	246679	0	0	11698	196290	50389	3.90
FLT0	Fm164	894400	234373	660027	69158	165215	0	234373	0	0	13486	186437	47936	3.89
FLT0	Fm167	898585	240770	657815	74353	166417	0	240770	0	0	9301	191438	49332	3.88
FLT0	Fm170	901361	262023	639338	63813	198210	0	262023	0	0	6525	208363	53660	3.88
FLT0	Fm172	854475	227570	626905	68100	159470	0	227570	0	0	53411	180854	46716	3.87
FLT0	Fm173	847935	232466	615469	66935	165531	0	232466	0	0	59951	184695	47771	3.87
FLT0	Fm174	901727	266013	635714	59619	206394	0	266013	0	0	6159	211326	54687	3.86
FLT0	Fm175	886262	252947	633315	69043	183904	0	252947	0	0	21624	200851	52096	3.86
FLT0	Fm176	887966	243090	644876	65513	177577	0	243090	0	0	19920	192891	50199	3.84
FLT0	Fm177	863114	235092	628022	63015	172077	0	235092	0	0	44772	186394	48698	3.83
FLT0	Fm179	898447	254348	644099	65040	189308	0	254348	0	0	9439	201887	52461	3.85
FLT0	Fm180	843201	229410	613791	62175	167235	0	229410	0	0	64685	182124	47286	3.85
